song,artist,play_count,song_length,album,genre,track_year
XS (Bree Runway Remix) [feat. Bree Runway],Rina Sawayama,3,202.988,SAWAYAMA (Deluxe Edition),Alternative,2020
Jingle Bell Rock,Bobby Helms,3,131.03,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol) - Single,Holiday,1957
Flames (feat. Avril Lavigne),MOD SUN,3,152.044,Flames (feat. Avril Lavigne) - Single,Alternative,2021
Who Will I Be,Demi Lovato,3,186.595,Camp Rock (Music from the Disney Channel Original Movie),Soundtrack,2008
The Middle,Jimmy Eat World,3,165.906,Bleed American,Alternative,2001
California Sober,Demi Lovato,3,185.762,Dancing With The Devil…The Art of Starting Over,Pop,2021
Livin' On a Prayer,Bon Jovi,3,249.637,Slippery When Wet,Hard Rock,1986
Waving Through a Window (Bonus Track),Katy Perry,3,236.054,Dear Evan Hansen (Original Broadway Cast Recording),Pop,2017
My Dear Love (feat. Ty Dolla $ign & Trevor Daniel),Bebe Rexha,3,172.802,Better Mistakes,Pop,2021
Empty,Bebe Rexha,3,148.212,Better Mistakes,Pop,2021
Sabotage,Bebe Rexha,3,176.634,Better Mistakes,Pop,2021
Never Take It,twenty one pilots,3,212.764,Scaled And Icy,Alternative,2021
Bounce Man,twenty one pilots,3,185.504,Scaled And Icy,Alternative,2021
CAN THEY HEAR US (From ‘Gully’ with original Daniel Heath Score),Dua Lipa,3,231.874,CAN THEY HEAR US (From ‘Gully’ with original Daniel Heath Score) - Single,Soundtrack,2021
Where We Belong,Thriving Ivory,3,226.394,Through Yourself & Back Again,Rock,2010
Bad Kitty,Liz Phair,3,217.06,Soberish,Alternative,2021
Rain Scene,Liz Phair,3,47.252,Soberish,Alternative,2021
Ba Ba Ba,Liz Phair,3,221.053,Soberish,Alternative,2021
Sheridan Road,Liz Phair,3,208.004,Soberish,Alternative,2021
Ride,Doja Cat,3,176.796,Planet Her,Pop,2021
Why Why (feat. Gunna),Doja Cat,3,179.025,Planet Her,Pop,2021
beloved,Switchfoot,3,334.143,interrobang,Alternative,2021
G R O W (feat. Travis Barker),WILLOW & Avril Lavigne,3,129.126,lately I feel EVERYTHING,Alternative,2021
Higher Power,Coldplay,3,211.348,Music of the Spheres,Pop,2021
Coloratura,Coldplay,3,619.022,Music of the Spheres,Pop,2021
Humankind,Coldplay,3,266.775,Music of the Spheres,Pop,2021
I've Got You Under My Skin,Tony Bennett & Lady Gaga,3,186.012,Love For Sale,Jazz,2021
Love For Sale,Tony Bennett & Lady Gaga,3,220.85,Love For Sale,Jazz,2021
The Tradition,Halsey,3,226.431,"If I Can’t Have Love, I Want Power",Alternative,2021
Bells in Santa Fe,Halsey,3,217.706,"If I Can’t Have Love, I Want Power",Alternative,2021
Easier than Lying,Halsey,3,206.399,"If I Can’t Have Love, I Want Power",Alternative,2021
Run,OneRepublic,3,168.355,Human (Deluxe),Pop,2021
DEAD RIGHT NOW,Lil Nas X,3,221.262,MONTERO,Pop,2021
DOLLA SIGN SLIME (feat. Megan Thee Stallion),Lil Nas X,3,145.124,MONTERO,Hip-Hop/Rap,2021
TALES OF DOMINICA,Lil Nas X,3,146.076,MONTERO,Pop,2021
DONT WANT IT,Lil Nas X,3,130.983,MONTERO,Alternative,2021
Call You Mine,Daughtry,3,255.167,Dearly Beloved,Rock,2021
Somebody,Daughtry,3,220.202,Dearly Beloved,Rock,2021
Break Into My Heart,Daughtry,3,229.631,Dearly Beloved,Rock,2021
World On Fire,Daughtry,3,215.466,Dearly Beloved,Rock,2021
Cry For Help,Daughtry,3,213.034,Dearly Beloved,Rock,2021
Dearly Beloved,Daughtry,3,222.698,Dearly Beloved,Rock,2021
Changes Are Coming,Daughtry,3,221.269,Dearly Beloved,Rock,2021
